ED_CODE,1CITY_CODE
St. Lucy,1
St. Peter,1
St. Andrew,1
St. James,1
St. Joseph,1
St. Thomas,1
St. John,1
St. Philip,1
St. George,1
St. Michael,1
Christ Church,1
